Dendrometer,Timestamp,Radius,max,twd,gro_yr,frost,flags,version
TV2a,2022-09-17T03:30:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T03:45:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T04:00:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T04:15:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T04:30:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T04:45:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T05:00:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T05:15:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T05:30:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T05:45:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T06:00:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T06:15:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T06:30:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T06:45:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T07:00:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T07:15:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T07:30:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T07:45:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T08:00:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T08:15:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T08:30:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T08:45:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T09:00:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T09:15:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T09:30:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T09:45:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T10:00:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T10:15:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T10:30:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T10:45:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T11:00:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T11:15:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T11:30:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T11:45:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T12:00:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T12:15:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T12:30:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T12:45:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T13:00:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T13:15:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T13:30:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T13:45:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T14:00:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T14:15:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T14:30:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T14:45:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T15:00:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T15:15:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T15:30:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T15:45:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T16:00:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T16:15:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T16:30:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T16:45:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T17:00:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T17:15:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T17:30:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T17:45:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T18:00:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T18:15:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T18:30:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T18:45:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T19:00:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T19:15:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T19:30:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T19:45:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T20:00:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T20:15:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T20:30:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T20:45:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T21:00:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T21:15:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T21:30:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T21:45:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T22:00:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T22:15:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T22:30:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T22:45:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T23:00:00Z,3678,3678,0,1,FALSE,NA,0.1.4
TV2a,2022-09-17T23:15:00Z,3679,3679,0,2,FALSE,NA,0.1.4
TV2a,2022-09-17T23:30:00Z,3679,3679,0,2,FALSE,NA,0.1.4
TV2a,2022-09-17T23:45:00Z,3679,3679,0,2,FALSE,NA,0.1.4
