Dendrometer,Timestamp,Radius.OG,Radius,jumpStart
ET2b,2023-01-26T00:15:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T00:30:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T00:45:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T01:00:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T01:15:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T01:30:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T01:45:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T02:00:00Z,6593.738157814315,6593.738157814315,NA
ET2b,2023-01-26T02:15:00Z,6593.738157814315,6593.738157814315,NA
ET2b,2023-01-26T02:30:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T02:45:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T03:00:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T03:15:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T03:30:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T03:45:00Z,6593.738157814315,6593.738157814315,NA
ET2b,2023-01-26T04:00:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T04:15:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T04:30:00Z,6593.738157814315,6593.738157814315,NA
ET2b,2023-01-26T04:45:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T05:00:00Z,6593.738157814315,6593.738157814315,NA
ET2b,2023-01-26T05:15:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T05:30:00Z,6593.738157814315,6593.738157814315,NA
ET2b,2023-01-26T05:45:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T06:00:00Z,6593.738157814315,6593.738157814315,NA
ET2b,2023-01-26T06:15:00Z,6593.738157814315,6593.738157814315,NA
ET2b,2023-01-26T06:30:00Z,6593.738157814315,6593.738157814315,NA
ET2b,2023-01-26T06:45:00Z,6593.738157814315,6593.738157814315,NA
ET2b,2023-01-26T07:00:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T07:15:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T07:30:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T07:45:00Z,6593.194792494347,6593.194792494347,NA
ET2b,2023-01-26T08:00:00Z,6593.194792494347,6593.194792494347,NA
ET2b,2023-01-26T08:15:00Z,6593.194792494347,6593.194792494347,NA
ET2b,2023-01-26T08:30:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T08:45:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T09:00:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T09:15:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T09:30:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T09:45:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T10:00:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T10:15:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T10:30:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T10:45:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T11:00:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T11:15:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T11:30:00Z,6593.738157814315,6593.738157814315,NA
ET2b,2023-01-26T11:45:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T12:00:00Z,6593.738157814315,6593.738157814315,NA
ET2b,2023-01-26T12:15:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T12:30:00Z,6593.738157814315,6593.738157814315,NA
ET2b,2023-01-26T12:45:00Z,6593.4664751543305,6593.4664751543305,NA
ET2b,2023-01-26T13:00:00Z,6593.738157814315,6593.738157814315,NA
ET2b,2023-01-26T13:15:00Z,6593.738157814315,6593.738157814315,NA
ET2b,2023-01-26T13:30:00Z,6593.738157814315,6593.738157814315,NA
ET2b,2023-01-26T13:45:00Z,6593.738157814315,6593.738157814315,NA
ET2b,2023-01-26T14:00:00Z,6593.738157814315,6593.738157814315,NA
ET2b,2023-01-26T14:15:00Z,6593.738157814315,6593.738157814315,NA
ET2b,2023-01-26T14:30:00Z,6593.738157814315,6593.738157814315,NA
ET2b,2023-01-26T14:45:00Z,6593.194792494347,6593.194792494347,NA
ET2b,2023-01-26T15:00:00Z,6592.923109834363,6592.923109834363,NA
ET2b,2023-01-26T15:15:00Z,6592.923109834363,6592.923109834363,NA
ET2b,2023-01-26T15:30:00Z,6592.923109834363,6592.923109834363,NA
ET2b,2023-01-26T15:45:00Z,6592.923109834363,6592.923109834363,NA
ET2b,2023-01-26T16:00:00Z,6593.194792494347,6593.194792494347,NA
ET2b,2023-01-26T16:15:00Z,6593.194792494347,6593.194792494347,NA
ET2b,2023-01-26T16:30:00Z,6593.194792494347,6593.194792494347,NA
ET2b,2023-01-26T16:45:00Z,6593.194792494347,6593.194792494347,NA
ET2b,2023-01-26T17:00:00Z,6593.194792494347,6593.194792494347,NA
ET2b,2023-01-26T17:15:00Z,6592.923109834363,6592.923109834363,NA
ET2b,2023-01-26T17:30:00Z,6592.651427174378,6592.651427174378,NA
ET2b,2023-01-26T17:45:00Z,6592.379744514395,6592.379744514395,NA
ET2b,2023-01-26T18:00:00Z,6592.379744514395,6592.379744514395,NA
ET2b,2023-01-26T18:15:00Z,6592.379744514395,6592.379744514395,NA
ET2b,2023-01-26T18:30:00Z,6592.379744514395,6592.379744514395,NA
ET2b,2023-01-26T18:45:00Z,6592.651427174378,6592.651427174378,NA
ET2b,2023-01-26T19:00:00Z,6592.651427174378,6592.651427174378,NA
ET2b,2023-01-26T19:15:00Z,6592.651427174378,6592.651427174378,NA
ET2b,2023-01-26T19:30:00Z,6592.923109834363,6592.923109834363,NA
ET2b,2023-01-26T19:45:00Z,6592.651427174378,6592.651427174378,NA
ET2b,2023-01-26T20:00:00Z,6592.651427174378,6592.651427174378,NA
ET2b,2023-01-26T20:15:00Z,6592.651427174378,6592.651427174378,NA
ET2b,2023-01-26T20:30:00Z,6592.651427174378,6592.651427174378,NA
ET2b,2023-01-26T20:45:00Z,6592.651427174378,6592.651427174378,NA
ET2b,2023-01-26T21:00:00Z,6592.651427174378,6592.651427174378,NA
ET2b,2023-01-26T21:15:00Z,6592.651427174378,6592.651427174378,NA
ET2b,2023-01-26T21:30:00Z,6592.651427174378,6592.651427174378,NA
ET2b,2023-01-26T21:45:00Z,6592.651427174378,6592.651427174378,NA
ET2b,2023-01-26T22:00:00Z,6592.651427174378,6592.651427174378,NA
ET2b,2023-01-26T22:15:00Z,6592.651427174378,6592.651427174378,NA
ET2b,2023-01-26T22:30:00Z,6592.651427174378,6592.651427174378,NA
ET2b,2023-01-26T22:45:00Z,6592.651427174378,6592.651427174378,NA
ET2b,2023-01-26T23:00:00Z,6592.651427174378,6592.651427174378,NA
ET2b,2023-01-26T23:15:00Z,6592.651427174378,6592.651427174378,NA
ET2b,2023-01-26T23:30:00Z,6592.379744514395,6592.379744514395,NA
ET2b,2023-01-26T23:45:00Z,6592.651427174378,6592.651427174378,NA
ET2b,2023-01-27T00:00:00Z,6592.651427174378,6592.651427174378,NA
ET2b,2023-01-27T00:15:00Z,6592.651427174378,6592.651427174378,NA
ET2b,2023-01-27T00:30:00Z,6592.379744514395,6592.379744514395,NA
ET2b,2023-01-27T00:45:00Z,6592.379744514395,6592.379744514395,NA
ET2b,2023-01-27T01:00:00Z,6592.379744514395,6592.379744514395,NA
